イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Security.Cryptography.Algorithms 4.3.1,,,,,"System.Security.Cryptography.Algorithms, 4.3.1  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Security.Cryptography.Xml 4.5.0,,,,,"System.Security.Cryptography.Xml, 4.5.0  レコメンデーション：  Remove System.Security.Cryptography.Xml, and replace with new package System.Security.Cryptography.Xml 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Security.Permissions 4.5.0,,,,,"System.Security.Permissions, 4.5.0  レコメンデーション：  Remove System.Security.Permissions, and replace with new package System.Security.Permissions 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Security.Principal.Windows 4.5.1,,,,,"System.Security.Principal.Windows, 4.5.1  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Threading.Channels 4.5.0,,,,,"System.Threading.Channels, 4.5.0  レコメンデーション：  Remove System.Threading.Channels, and replace with new package System.Threading.Channels 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Threading.Tasks.Extensions 4.5.2,,,,,"System.Threading.Tasks.Extensions, 4.5.2  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Web.Http.Common 4.0.20126.16343,,,,,"System.Web.Http.Common, 4.0.20126.16343  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Xml.Linq 3.5.21022.801,,,,,"System.Xml.Linq, 3.5.21022.801  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Caching.Abstractions 2.2.0,,,,,"Microsoft.Extensions.Caching.Abstractions, 2.2.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions, 10.0.1"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Caching.Memory 2.2.0,,,,,"Microsoft.Extensions.Caching.Memory, 2.2.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory, 10.0.1"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 2.2.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 2.2.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions, 10.0.1"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Options 2.2.0,,,,,"Microsoft.Extensions.Options, 2.2.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options, 10.0.1"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.Extensions.Primitives 2.2.0,,,,,"Microsoft.Extensions.Primitives, 2.2.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.Primitives, and replace with new package Microsoft.Extensions.Primitives, 10.0.1"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.IdentityModel.Logging 5.4.0,,,,,"Microsoft.IdentityModel.Logging, 5.4.0  レコメンデーション：  Move to latest, see https://aka.ms/IdentityModel/LTS Remove Microsoft.IdentityModel.Logging, and replace with new package Microsoft.IdentityModel.Logging, 8.15.0"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.IdentityModel.Protocols 5.4.0,,,,,"Microsoft.IdentityModel.Protocols, 5.4.0  レコメンデーション：  Move to latest https://aka.ms/IdentityModel/LTS Remove Microsoft.IdentityModel.Protocols, and replace with new package Microsoft.IdentityModel.Protocols, 8.15.0"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,Microsoft.IdentityModel.Tokens 5.4.0,,,,,"Microsoft.IdentityModel.Tokens, 5.4.0  レコメンデーション：  Move to latest Microsoft.IdentityModel.Tokens. See https://aka.ms/IdentityModel/LTS, Remove Microsoft.IdentityModel.Tokens, and replace with new package Microsoft.IdentityModel.Tokens, 8.15.0"
